latitude,longitude,farm,date
54.967580,-6.255590,Poultry,11/11/2015
55.202220,-6.488230,Poultry,25/01/2016
54.370210,-5.915630,Poultry,21/01/2016
54.469990,-6.708810,Poultry,25/01/2016
54.751160,-6.645550,Poultry,12/02/2016
54.682430,-6.870480,Poultry,04/01/2016
55.029110,-6.657540,Poultry,12/01/2016
54.792180,-6.146560,Poultry,18/07/2016
54.288820,-6.114000,Poultry,08/11/2016
54.436340,-7.189770,Poultry,22/01/2016
54.270930,-6.499680,Poultry,22/02/2016
55.026100,-6.654020,Poultry,10/05/2016
54.903090,-5.999320,Poultry,06/04/2016
54.899610,-6.028940,Poultry,06/04/2016
54.682870,-7.633650,Poultry,05/10/2016
54.853815,-7.431336,Poultry,26/09/2016
54.326500,-6.718000,Poultry,08/06/2016
54.375000,-6.241730,Poultry,27/06/2016
54.977200,-6.416710,Poultry,29/12/2016
54.516780,-6.209480,Poultry,04/11/2016
54.336170,-6.143890,Poultry,26/09/2016
54.909470,-6.636030,Poultry,29/11/2016
54.476140,-5.687640,Poultry,21/09/2016
